Country,SSM,SARL,PCMO,General DUTY,Region,Notes,SSM Contact Type
Albania,355-69-20-84-291,??,355-69-20-88295,355-69-685-4689,EMA,There is no general number for SARL listed,
Armenia,374-98-413-156,374-98-123-384,374-98-409-642,374-98-12-3391,EMA,,
Azerbaijan,??,??,99-450-200-9031,99-450-203-3255,EMA,"Suspended, so no staff",
Belize,??,??,501-822-1687,501-610-883,IAP,"No SARL, or SSM listed in pdf",
Benin,229-97-97-69-33,??,229-98-10-48-30,229-97-97-69-49,AF,229-97-97-69-32- second medical duty phone,cell
Botswana,267-7132-2888,267-740-64-745,267-71-222-666,267-71-323-999,AF,no SSM duty number listed,cell
Burkina Faso,226-76-20-23-85,226-64-66-43-43,226-76-20-24-6,226-76-20-24-5,AF,no SSM duty number listed,cell
Cambodia,855-12-831-912,855-12-436-33,855-12-941-68,855-12-934-583,EMA,no SSM duty number listed,cell
Cameroon,237-675-29-91-0,237-679-505-377,237-677-709-480,237-677-709-495,AF,,
China,86-139-8063-6210,86-135-6898-3341,86-139-8095-6692,86-139-8005-9990,EMA,,cell
Colombia,57-315-636-7188,??,57-310-247-7200,57-312-451-4301,IAP,no duty numbers for SSM or SARL,cell
Comoros,269-360-1-18,??,269-360-1-8,269-360-1-14,AF,no duty number for SARL,
Costa Rica,57-315-636-7188,506-8913-2796,506-8913-2627,506-8913-2400,IAP,no duty number for SSM,cell
Dominican Republic,809-723-9947,809-723-7847,809-723-9945,809-723-9944,IAP,no duty number for SSM,cell
Eastern Caribbean,758-484-1397,758-285-9732,??,??,IAP,only SARL and SSM numbers listed,cell
Ecuador,593-9-9449-7380,??,593-9-9939-1612,593-2-227-3759,IAP,593-9-9949-4025 - second duty number. others not found,
El Salvador,??,??,503-7888-1871,503-7737-2533,IAP,Suspended,
Ethiopa,251-911-222-385,251-93-540-1125,251-911-237-182,251-911-254-159,AF,,
Fiji,679-777-914,679-777-924,??,679-777-998,IAP,no duty numbers for SSM or PCMO,alternate 
FSM and Palau,691-920-1829,691-925-2582,691-920-6510,691-920-2502,IAP,no duty number for SSM,emergancy 
Georgia,995-599-974-348,995-595-14-732,995-599-97-33-88,995-599-96-1004,EMA,no duty number for SSM,yes
Ghana,233-30-274-4600,??,233-24-432-5603,233-50-12-99-802,AF,no duty numbers for SSM or SARL,alternate 
Guatemala,502-5203-8678,??,502-5202-825,502-5202-2322,IAP,no duty numbers for SSM or SARL,cell
Guinea,224-622-35-2-48,??,224-62-200-14-26,224-62-525-2-83,AF,no duty numbers for SSM or SARL,cell
Guyana,592-600-3763,??,592-624-6355,??,IAP,only PCMO duty number provided,cell
Honduras,??,??,504-9970-394,504-9990-1980,IAP,Suspended so no staff,
Indonesia,62-31-561-5808,62-811-304-6330,62-811-3611-571,62-811-3611-610,IAP,no duty number for SSM,"alternate, also '+62-811-3611-609"
Jamaica,876-371-601,??,876-579-7392,876-383-6904,IAP,"+876-579-7486 second duty phone, no SSM or SARL",cell
Jordon,??,??,962-79-554-357,876-579-7392,EMA,Suspended so no staff,
Kenya,254-724-253-395,254-704-407-685,254-722-515-16,254-722-200-765,AF,no duty number for SSM,cell
Kosovo,??,??,??,+386 49 817 100,EMA,Suspended so no staff,
Kyrgyz Republic,996-555-756-130,996-555-750-538,996-555-756-137,996-555-756-139,EMA,,
Lesotho,266-62-856-636,266-62-856-468,266-62-851-3,266-6285-2058,AF,no duty number for SSM,emergancy 
Liberia,231-777-335-309,??,231-880-651-138,231-777-265-194,AF,+231-880-651-138 second duty number/'+231-880-517-421 second PCMO,cell
Macedonia,389-70-30-60-39,??,389-70-23-15-91,389-70-22-82-49,EMA,no duty numbers for SSM or SARL,cell
